Ape,Date,Session_Type,Exp_Num,TrialNum,ApDR,ApDL,Choice_SL,Object
Kanzi,12/23/18,Control,1b,7,84,28,Long,Duct_Tape
Kanzi,12/23/18,Control,1b,8,28,56,Long,Duct_Tape
Kanzi,12/23/18,Control,1b,9,84,112,Long,Duct_Tape
Kanzi,12/23/18,Control,1b,10,56,28,Long,Duct_Tape
Kanzi,12/23/18,Control,1b,11,28,112,Long,Duct_Tape
Kanzi,2/12/19,Control,1b,12,112,84,Long,Duct_Tape
Teco,12/22/18,Control,1b,7,84,28,Long,Duct_Tape
Teco,12/22/18,Control,1b,8,28,56,Long,Duct_Tape
Teco,12/22/18,Control,1b,9,84,112,Long,Duct_Tape
Teco,12/22/18,Control,1b,10,56,28,Long,Duct_Tape
Teco,12/23/18,Control,1b,11,28,112,Long,Duct_Tape
Teco,12/23/18,Control,1b,12,112,84,Long,Duct_Tape
Kanzi,12/21/18,Control,1b,1,112,56,Long,Paper
Kanzi,12/22/18,Control,1b,2,56,112,Long,Paper
Kanzi,12/22/18,Control,1b,3,112,28,Long,Paper
Kanzi,12/22/18,Control,1b,4,56,84,Long,Paper
Kanzi,12/22/18,Control,1b,5,84,56,Long,Paper
Kanzi,12/22/18,Control,1b,6,28,84,Long,Paper
Teco,12/21/18,Control,1b,1,112,56,Long,Paper
Teco,12/21/18,Control,1b,2,56,112,Long,Paper
Teco,12/21/18,Control,1b,3,112,28,Long,Paper
Teco,12/21/18,Control,1b,4,56,84,Long,Paper
Teco,12/21/18,Control,1b,5,84,56,Long,Paper
Teco,12/22/18,Control,1b,6,28,84,Both,Paper
Elikya,2/13/19,Testing,1c,1,28,56,Short,Cups
Elikya,2/13/19,Testing,1c,2,112,84,Both,Cups
Elikya,2/14/19,Testing,1c,3,28,112,Short,Cups
Elikya,2/14/19,Testing,1c,4,112,28,Short,Cups
Elikya,2/14/19,Testing,1c,5,28,84,Short,Cups
Elikya,2/14/19,Testing,1c,6,56,28,Short,Cups
Elikya,2/14/19,Testing,1c,7,112,56,Long,Cups
Elikya,2/15/19,Testing,1c,8,56,84,Short,Cups
Elikya,2/15/19,Testing,1c,9,84,56,Short,Cups
Elikya,2/15/19,Testing,1c,10,56,112,Long,Cups
Elikya,2/15/19,Testing,1c,11,84,28,Short,Cups
Kanzi,2/15/19,Testing,1c,1,112,28,Short,Cups
Kanzi,2/14/19,Testing,1c,2,84,112,Short,Cups
Kanzi,2/15/19,Testing,1c,3,112,84,Short,Cups
Kanzi,2/15/19,Testing,1c,4,28,112,Short,Cups
Kanzi,2/15/19,Testing,1c,5,56,84,Short,Cups
Kanzi,3/11/19,Testing,1c,6,84,56,Short,Cups
Kanzi,3/11/19,Testing,1c,7,28,56,Short,Cups
Kanzi,3/11/19,Testing,1c,8,112,56,Short,Cups
Kanzi,3/11/19,Testing,1c,9,84,28,Short,Cups
Kanzi,1/31/20,Testing,1c,10,56,112,Short,Cups
Kanzi,1/31/20,Testing,1c,11,28,84,Short,Cups
Kanzi,1/31/20,Testing,1c,12,56,28,Long,Cups
Maisha,2/12/19,Testing,1c,1,56,112,Both,Cups
Maisha,2/12/19,Testing,1c,2,28,56,Both,Cups
Maisha,2/12/19,Testing,1c,3,112,84,Short,Cups
Maisha,2/13/19,Testing,1c,4,84,112,Both,Cups
Maisha,2/13/19,Testing,1c,5,56,84,Both,Cups
Maisha,2/13/19,Testing,1c,6,28,112,Both,Cups
Maisha,2/13/19,Testing,1c,7,112,56,Long,Cups
Maisha,2/14/19,Testing,1c,8,28,84,Both,Cups
Maisha,2/14/19,Testing,1c,9,112,28,Both,Cups
Maisha,2/15/19,Testing,1c,10,56,28,Both,Cups
Maisha,2/15/19,Testing,1c,11,84,56,Short,Cups
Maisha,2/15/19,Testing,1c,12,84,28,Long,Cups
Nyota,2/12/19,Testing,1c,1,112,28,Both,Cups
Nyota,2/12/19,Testing,1c,2,84,112,Short,Cups
Nyota,2/12/19,Testing,1c,3,28,84,Both,Cups
Nyota,2/12/19,Testing,1c,4,84,28,Both,Cups
Nyota,2/12/19,Testing,1c,5,28,112,Short,Cups
Nyota,2/13/19,Testing,1c,6,56,28,Short,Cups
Nyota,2/13/19,Testing,1c,7,84,56,Long,Cups
Nyota,2/13/19,Testing,1c,8,56,84,Short,Cups
Nyota,2/13/19,Testing,1c,9,56,112,Short,Cups
Nyota,1/29/20,Testing,1c,10,28,56,Short,Cups
Nyota,1/30/20,Testing,1c,11,112,56,Long,Cups
Nyota,1/31/20,Testing,1c,12,112,84,Long,Cups
Teco,2/12/19,Testing,1c,1,112,56,Both,Cups
Teco,2/12/19,Testing,1c,2,56,112,Both,Cups
Teco,2/12/19,Testing,1c,3,112,28,Both,Cups
Teco,2/12/19,Testing,1c,4,28,56,Both,Cups
Teco,2/12/19,Testing,1c,5,56,28,Both,Cups
Teco,2/13/19,Testing,1c,6,56,84,Both,Cups
Teco,2/13/19,Testing,1c,7,84,28,Both,Cups
Teco,1/28/20,Testing,1c,8,28,112,Both,Cups
Kanzi,7/20/18,Testing,1a,1,56,112,Short,Sticks
Kanzi,7/21/18,Testing,1a,2,112,56,Short,Sticks
